created,temperature,humidity,co,h2s,no2,sgp30_tvoc,sgp30_co2,nh3,pm_mass_1_0,pm_mass_2_5,pm_mass_4_0,pm_mass_10,pm_number_0_5,pm_number_1_0,pm_number_2_5,pm_number_4_0,pm_number_10,led_status
2020-12-07 12:19,25.21018791,24.48493767,4669,2,155,842,1043,50.30303192,22.164217,23.66986847,23.85768509,23.89521408,151.04216,175.9628754,176.8741455,176.9701233,177.0067444,0
2020-12-07 12:09,25.02788353,24.42009735,4254,25,196,519,765,51.51515579,22.33989143,23.95005989,24.21430016,24.26712799,152.0441895,177.2658844,178.2700348,178.3818359,178.4212799,0
2020-12-07 11:59,24.87238693,24.47234344,3917,32,196,539,787,48.48484802,23.36925697,25.08340073,25.3839283,25.44402504,158.9872131,185.4043579,186.4823303,186.6041412,186.6461945,0
2020-12-07 11:49,24.68203735,24.07622528,4133,54,193,550,800,49.09091187,25.31287003,27.07278633,27.31997681,27.36940002,172.4141388,200.9201965,201.998291,202.1144867,202.1574097,0
2020-12-07 11:29,24.27721214,21.88677979,4273,'-38,187,262,482,48.78787994,34.93756485,37.57360458,38.08227539,38.18396378,237.5348663,277.111084,278.7905273,278.9845581,279.0494385,0
2020-12-07 11:19,24.40589714,22.51767349,4085,'-50,167,306,600,47.57575989,38.96755981,42.17043304,42.95044327,43.10640717,264.3803711,308.8153076,310.9315491,311.1907043,311.2702637,0
2020-12-07 10:59,24.52654076,22.82819366,3898,'-54,178,338,568,48.78787994,36.26003265,38.73133469,39.04517365,39.1078949,247.0836334,287.8622742,289.3605652,289.5189209,289.5790405,0
2020-12-07 10:49,24.5024128,23.19712067,3556,'-50,205,392,616,51.8181839,37.18645859,39.96063995,40.47650146,40.57963943,252.8912048,294.9796448,296.7380066,296.9393921,297.0075989,0
2020-12-07 10:29,24.45415497,24.08970451,3267,'-34,196,531,808,50.30303192,37.55429077,40.20612335,40.605896,40.68582153,255.708374,298.0457153,299.6829529,299.861969,299.9267578,0
2020-12-07 10:19,24.44611168,24.20226288,4346,'-39,181,605,937,51.51515579,35.36402893,37.82271576,38.16803741,38.23706055,240.875885,280.7010193,282.2071228,282.3694458,282.4294128,0
2020-12-07 9:59,24.58016014,24.83306122,4343,'-23,175,564,911,53.03030396,38.45654678,41.25640106,41.7339859,41.82946014,261.6742249,305.1229553,306.8774719,307.0745239,307.1431885,0
2020-12-07 9:49,24.65790939,25.40001106,4633,34,202,598,975,48.78787994,33.76464462,36.01613235,36.26808929,36.31843948,230.1843567,268.1010437,269.4501953,269.5895691,269.6441956,0
2020-12-07 9:39,24.4380703,25.66356277,3794,79,199,602,967,51.51515579,33.06148911,35.28569031,35.54829407,35.600811,225.3493652,262.4983521,263.8375854,263.9772034,264.03125,0
2020-12-07 9:19,24.37640762,25.13715744,3691,75,202,578,1061,51.51515579,36.28087616,38.72725677,39.01993179,39.07846451,247.2812042,288.053833,289.5286255,289.6827698,289.7421875,0
2020-12-07 9:09,24.36300278,25.07001495,4693,84,175,522,1007,47.87879181,34.35445404,36.99517441,37.53471756,37.64259338,233.467804,272.4378662,274.1343079,274.3330383,274.3981628,0
2020-12-07 8:59,24.39517403,24.89014244,4059,79,170,386,892,48.48484802,35.20897675,37.58328629,37.86751175,37.92433548,239.9749451,279.5432129,280.9746399,281.1242676,281.1819458,0
2020-12-07 8:49,24.4112606,24.94320679,4190,63,167,352,785,48.48484802,35.85909653,38.48968124,38.95109558,39.04336166,243.9582062,284.4945068,286.1488953,286.3358765,286.4004211,0
2020-12-07 8:29,24.6498661,24.16700554,4235,52,181,484,850,50.90908813,44.01507187,47.27527618,47.86693954,47.98522186,299.3793945,349.1704407,351.2300415,351.4645996,351.5447083,0
